company_id,company_cik,company_composite_figi,company_market_locale,company_share_class_figi,company_asset_type,company_ticker,company_name
220,0000896262,BBG000B9ZV28,us,BBG001S5NN72,stocks,AMED,Amedisys Inc
221,0000318154,BBG000BBS2Y0,us,BBG001S5NNL6,stocks,AMGN,Amgen Inc
222,,BBG017Z2L8P2,us,BBG017Z2L9J7,stocks,AMID,Argent Mid Cap ETF
223,0001617867,BBG00R28GXW5,us,BBG00R28GXX4,stocks,AMIX,"Autonomix Medical, Inc. Common Stock"
224,0001047127,BBG000BCKGW7,us,BBG001S64YF8,stocks,AMKR,Amkor Technology Inc
225,0001699880,BBG000QVJ252,us,BBG001S5ZLX4,stocks,AMLI,American Lithium Corp. Common Stock
226,0001658551,BBG00DP10YT5,us,BBG00DP10YW1,stocks,AMLX,"Amylyx Pharmaceuticals, Inc. Common Stock"
227,0001518461,BBG00394F954,us,BBG00394F9X3,stocks,AMPG,AMPLITECH GROUP INC. COM
228,0001518461,BBG00Z9BGRC8,us,,stocks,AMPGW,"Amplitech Group, Inc. Warrants"
229,0001297184,BBG000BW90S6,us,BBG001SCM4W2,stocks,AMPH,"Amphastar Pharmaceuticals, Inc."
230,0001866692,BBG012CDTZY6,us,BBG012CDTZZ5,stocks,AMPL,"Amplitude, Inc. Class A Common Stock"
231,0001591588,BBG005ZVDK48,us,BBG005ZVDK57,stocks,AMRK,"A-Mark Precious Metals, Inc."
232,0000897448,BBG000BPYG99,us,BBG001SD42R0,stocks,AMRN,Amarin Corp Plc
233,0001723128,BBG00462PGG0,us,BBG00462PGH9,stocks,AMRX,"Amneal Pharmaceuticals, Inc. Class A Common Stock"
234,0000880807,BBG000CP3D44,us,BBG001S70C31,stocks,AMSC,American Superconductor Corp
235,0001018979,BBG000Q0JJQ0,us,BBG001SDH7B2,stocks,AMSF,"AMERISAFE, Inc."
236,0001807166,BBG00KY7FCW4,us,BBG00KY7FCX3,stocks,AMST,Amesite Inc.
237,0000738214,BBG000BWBZY9,us,BBG001SCST33,stocks,AMTX,"Aemetis, Inc. (DE) Common Stock"
238,0000794619,BBG000BBX657,us,BBG001S5NQ57,stocks,AMWD,American Woodmark Corp
239,,BBG019HFY6V2,us,BBG019HFY7P7,stocks,AMZD,Direxion Daily AMZN Bear 1X Shares
240,0001018724,BBG000BVPV84,us,BBG001S5PQL7,stocks,AMZN,Amazon.Com Inc
241,,BBG019HFXXC5,us,BBG019HFXY60,stocks,AMZU,Direxion Shares ETF Trust Direxion Daily AMZN Bull 2X Shares
242,0001689873,BBG01LNX9683,us,BBG01LNX97G2,stocks,AMZZ,GraniteShares 2x Long AMZN Daily ETF
243,0001370053,BBG0026ZDHR0,us,BBG0026ZDHT8,stocks,ANAB,"AnaptysBio, Inc. Common Stock"
244,0000821026,BBG000BF8CN3,us,BBG001S60FJ9,stocks,ANDE,Andersons Inc/The
245,0001815974,BBG00ZWY5GC8,us,BBG00ZWY5GD7,stocks,ANEB,"Anebulo Pharmaceuticals, Inc. Common Stock"
246,0001871983,,us,,stocks,ANGH,Anghami Inc. Ordinary Shares
247,0001871983,,us,,stocks,ANGHW,Anghami Inc. Warrants
248,0001705110,BBG00HVKH3Q0,us,BBG00HVKH4F0,stocks,ANGI,Angi Inc. Class A Common Stock
249,0001137360,BBG002VZY764,us,BBG002VZY7Y3,stocks,ANGL,VanEck Fallen Angel High Yield Bond ETF
